Designator,Mid X,Mid Y,Layer,Rotation
"D1",198.000000,-109.000000,top,0.000000
"D2",198.000000,-103.000000,top,0.000000
"D3",198.000000,-97.000000,top,0.000000
"D4",198.000000,-91.000000,top,0.000000
"L1",184.950000,-118.500000,top,0.000000
"SW1",190.000000,-100.000000,top,0.000000
"TP1",175.000000,-81.000000,top,0.000000
"TP2",145.000000,-95.000000,top,0.000000
"TP3",171.000000,-105.000000,top,0.000000
"TP4",134.000000,-119.000000,top,0.000000
"TP5",196.000000,-119.000000,top,0.000000
"TP6",196.000000,-81.000000,top,0.000000
"TP7",153.000000,-119.000000,top,0.000000
"TP8",153.000000,-81.000000,top,0.000000
"TP9",175.000000,-119.000000,top,0.000000
"TP10",134.000000,-81.000000,top,0.000000
"U1",184.950000,-115.562500,top,90.000000
